Last Reading Date, Hydrometric Stations, Flow (cfs)
2-Oct-25, Whitesand River near Canora, 0.2
2-Oct-25, Shell River near Inglis, 97
2-Oct-25, Qu'Appelle River near Welby, 45
2-Oct-25, Stony Creek Near Kamsack, 0.1
2-Oct-25, Smith Creek near Marchwell, 3
2-Oct-25, Conjuring Creek near Russell, 0
2-Oct-25, Birdtail Creek near Birtle, 14
2-Oct-25, Scissor Creek near McAuley, 0
2-Oct-25, Silver Creek near Binscarth, 1
2-Oct-25, Sturgeon Creek at St. James, 3
2-Oct-25, Arrow River near Arrow River, 0.1
2-Oct-25, Gopher Creek near Virden, 0
25-Aug-25, Oak River near Rivers, 0
2-Oct-25, Baileys Creek near Oak Lake, 0
2-Oct-25, Little Souris River near Brandon, 0
2-Oct-25, Epinette Creek near Carberry, 0.6
2-Oct-25, Cypress River near Bruxelles, 0
14-Sep-25, Omands Creek near Empress Street East, 1
2-Oct-25, Pipestone Creek near Pipestone, 11